match_number,home_team,away_team,lean_score,lean_label,confidence,home_rating,away_rating,home_win_probability,draw_probability,away_win_probability,model_summary,environment_note,pre_match_status,pre_match_updated_at,evidence_summary,pre_match_sources,factor_breakdown
40,New Zealand,Egypt,-12,倾向 Egypt,低,60,68,29,26,45,静态硬实力 60:68；22C / 湿度50%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 29% / 26% / 45%。,22C / 湿度50%（Open-Meteo forecast）,等待赛前资料,2026-06-21T21:59:30+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760452/egypt-new-zealand"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869174v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": -11.6}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": -0.0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
41,Norway,Senegal,1,接近均势,低,75,74,38,26,36,静态硬实力 75:74；21C / 湿度94%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 38% / 26% / 36%。,21C / 湿度94%（Open-Meteo forecast）,等待赛前资料,2026-06-22T22:27:09+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760454/senegal-norway"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869186v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": 1.4}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": -0.0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
42,France,Iraq,44,倾向 France,中,93,62,59,29,12,静态硬实力 93:62；31C / 湿度42%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 59% / 29% / 12%。,31C / 湿度42%（Open-Meteo forecast）,等待赛前资料,2026-06-22T16:14:55+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760457/iraq-france"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869185v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": 44.9}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": -0.9}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 3.0}]"
43,Argentina,Austria,27,倾向 Argentina,中,94,76,50,31,19,静态硬实力 94:76；30C / 湿度73%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 50% / 31% / 19%。,30C / 湿度73%（Open-Meteo forecast）,等待赛前资料,2026-06-22T16:14:55+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760456/austria-argentina"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869194v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": 26.1}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 1.0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 5.0}]"
44,Jordan,Algeria,-10,接近均势,低,60,67,30,26,44,静态硬实力 60:67；14C / 湿度94%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 30% / 26% / 44%。,14C / 湿度94%（Open-Meteo forecast）,等待赛前资料,2026-06-22T22:27:09+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760455/algeria-jordan"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869195v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": -10.2}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0.0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
45,England,Ghana,33,倾向 England,中,90,67,57,26,17,静态硬实力 90:67；20C / 湿度87%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 57% / 26% / 17%。,20C / 湿度87%（Open-Meteo forecast）,等待赛前资料,2026-06-23T17:30:11+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760458/ghana-england"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869206v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": 33.4}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": -0.0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
46,Panama,Croatia,-29,倾向 Croatia,中,62,82,19,26,55,静态硬实力 62:82；23C / 湿度47%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 19% / 26% / 55%。,23C / 湿度47%（Open-Meteo forecast）,等待赛前资料,2026-06-23T22:05:57+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760460/croatia-panama"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869207v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": -29.0}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0.0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
47,Portugal,Uzbekistan,36,倾向 Portugal,中,88,63,54,31,15,静态硬实力 88:63；31C / 湿度61%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 54% / 31% / 15%。,31C / 湿度61%（Open-Meteo forecast）,等待赛前资料,2026-06-23T10:48:15+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760461/uzbekistan-portugal"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869200v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": 36.2}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0.0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 5.0}]"
48,Colombia,Congo DR,24,倾向 Colombia,低,80,64,52,26,22,静态硬实力 80:64；23C / 湿度68%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 52% / 26% / 22%。,23C / 湿度68%（Open-Meteo forecast）,等待赛前资料,2026-06-23T22:05:57+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760459/congo-dr-colombia"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869201v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": 23.2}, {""factor"": ""主场/海拔"", ""value"": 1}, {""factor"": ""实时天气适应"", ""value"": -0.0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
49,Scotland,Brazil,-30,倾向 Brazil,中,70,89,18,31,51,静态硬实力 70:89；31C / 湿度60%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 18% / 31% / 51%。,31C / 湿度60%（Open-Meteo forecast）,等待赛前资料,2026-06-24T10:28:47+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760465/brazil-scotland"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869152v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": -27.6}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": -2.0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 5.0}]"
50,Morocco,Haiti,33,倾向 Morocco,中,81,58,54,29,17,静态硬实力 81:58；31C / 湿度33%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 54% / 29% / 17%。,31C / 湿度33%（Open-Meteo forecast）,等待赛前资料,2026-06-24T10:28:47+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760464/haiti-morocco"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869153v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": 33.4}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": -0.3}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 3.0}]"
51,Switzerland,Canada,5,接近均势,低,78,71,40,26,34,静态硬实力 78:71；26C / 湿度55%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 40% / 26% / 34%。,26C / 湿度55%（Open-Meteo forecast）,等待赛前资料,2026-06-24T10:28:47+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760463/canada-switzerland"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1867428v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": 10.2}, {""factor"": ""主场/海拔"", ""value"": -5}, {""factor"": ""实时天气适应"", ""value"": 0.0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
52,Bosnia and Herzegovina,Qatar,3,接近均势,低,66,64,39,26,35,静态硬实力 66:64；27C / 湿度40%（Open-Meteo forecast）；暂无已核实首发、伤停或赔率证据。三结果概率为 39% / 26% / 35%。,27C / 湿度40%（Open-Meteo forecast）,等待赛前资料,2026-06-24T10:28:47+00:00,暂无已核实首发、伤停或赔率证据,"[{""name"": ""FIFA Match Center"", ""url"": ""https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center"", ""status"": ""官方页面可能要求浏览器验证，保留人工核验入口""}, {""name"": ""ESPN"", ""url"": ""https://www.espn.com/soccer/match/_/gameId/760462/qatar-bosnia-herzegovina"", ""status"": ""赛程与赛果""}, {""name"": ""直播吧"", ""url"": ""https://www.zhibo8.cc/zhibo/zuqiu/2026/match1869147v.htm"", ""status"": ""赛前资料核验""}]","[{""factor"": ""硬实力差"", ""value"": 2.9}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": -0.0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
53,Czechia,Mexico,-14,倾向 Mexico,低,71,76,28,26,46,静态硬实力 71:76；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 28% / 26% / 46%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -7.2}, {""factor"": ""主场/海拔"", ""value"": -7}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
54,South Africa,Korea Republic,-13,倾向 Korea Republic,低,65,74,29,26,45,静态硬实力 65:74；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 29% / 26% / 45%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -13.0}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
55,Curacao,Cote d'Ivoire,-19,倾向 Cote d'Ivoire,低,59,72,25,26,49,静态硬实力 59:72；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 25% / 26% / 49%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -18.8}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
56,Ecuador,Germany,-20,倾向 Germany,低,73,87,24,26,50,静态硬实力 73:87；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 24% / 26% / 50%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -20.3}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
57,Japan,Sweden,3,接近均势,低,77,75,39,26,35,静态硬实力 77:75；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 39% / 26% / 35%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 2.9}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
58,Tunisia,Netherlands,-29,倾向 Netherlands,中,66,86,19,26,55,静态硬实力 66:86；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 19% / 26% / 55%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -29.0}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
59,Turkiye,United States,-11,倾向 United States,低,73,77,30,26,44,静态硬实力 73:77；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 30% / 26% / 44%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -5.8}, {""factor"": ""主场/海拔"", ""value"": -5}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
60,Paraguay,Australia,-3,接近均势,低,70,72,35,26,39,静态硬实力 70:72；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 35% / 26% / 39%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -2.9}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
61,Norway,France,-26,倾向 France,中,75,93,21,26,53,静态硬实力 75:93；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 21% / 26% / 53%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -26.1}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
62,Senegal,Iraq,17,倾向 Senegal,低,74,62,48,26,26,静态硬实力 74:62；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 48% / 26% / 26%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 17.4}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
63,Egypt,IR Iran,-1,接近均势,低,68,69,36,26,38,静态硬实力 68:69；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 36% / 26% / 38%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -1.4}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
64,New Zealand,Belgium,-35,倾向 Belgium,中,60,84,16,26,58,静态硬实力 60:84；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 16% / 26% / 58%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -34.8}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
65,Cabo Verde,Saudi Arabia,-10,接近均势,低,61,68,30,26,44,静态硬实力 61:68；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 30% / 26% / 44%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -10.2}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
66,Uruguay,Spain,-12,倾向 Spain,低,83,91,29,26,45,静态硬实力 83:91；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 29% / 26% / 45%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -11.6}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
67,Panama,England,-41,倾向 England,中,62,90,14,26,60,静态硬实力 62:90；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 14% / 26% / 60%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -40.6}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
68,Croatia,Ghana,22,倾向 Croatia,低,82,67,51,26,23,静态硬实力 82:67；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 51% / 26% / 23%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 21.8}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
69,Algeria,Austria,-13,倾向 Austria,低,67,76,29,26,45,静态硬实力 67:76；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 29% / 26% / 45%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -13.0}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
70,Jordan,Argentina,-49,倾向 Argentina,高,60,94,11,26,63,静态硬实力 60:94；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 11% / 26% / 63%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -49.3}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
71,Colombia,Portugal,-12,倾向 Portugal,低,80,88,29,26,45,静态硬实力 80:88；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 29% / 26% / 45%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": -11.6}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
72,Congo DR,Uzbekistan,1,接近均势,低,64,63,38,26,36,静态硬实力 64:63；实时天气待补充；暂无已核实首发、伤停或赔率证据。三结果概率为 38% / 26% / 36%。,实时天气待补充,等待赛前资料,,暂无已核实首发、伤停或赔率证据,[],"[{""factor"": ""硬实力差"", ""value"": 1.4}, {""factor"": ""主场/海拔"", ""value"": 0}, {""factor"": ""实时天气适应"", ""value"": 0}, {""factor"": ""已核实临场信息"", ""value"": 0}, {""factor"": ""平局修正"", ""value"": 0.0}]"
73,Group A runners-up,Group B runners-up,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
74,Group E winners,Group A/B/C/D/F third place,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
75,Group F winners,Group C runners-up,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
76,Group C winners,Group F runners-up,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
77,Group I winners,Group C/D/F/G/H third place,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
78,Group E runners-up,Group I runners-up,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
79,Group A winners,Group C/E/F/H/I third place,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
80,Group L winners,Group E/H/I/J/K third place,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
81,Group D winners,Group B/E/F/I/J third place,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
82,Group G winners,Group A/E/H/I/J third place,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
83,Group K runners-up,Group L runners-up,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
84,Group H winners,Group J runners-up,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
85,Group B winners,Group E/F/G/I/J third place,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
86,Group J winners,Group H runners-up,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
87,Group K winners,Group D/E/I/J/L third place,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
88,Group D runners-up,Group G runners-up,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
89,Winner Match 74,Winner Match 77,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
90,Winner Match 73,Winner Match 75,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
91,Winner Match 76,Winner Match 78,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
92,Winner Match 79,Winner Match 80,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
93,Winner Match 83,Winner Match 84,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
94,Winner Match 81,Winner Match 82,0,待定,低,,,33,34,33,淘汰赛对阵或球队尚未确定。,待定,待球队确定,,,[],[]
